"FullName","Length","LastWriteTime"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Icons\P+F.ICO","1406","31/01/2007 17:05:06"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Icons\PR.ico","766","02/05/2006 11:35:58"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Icons\SAMSON.ICO","2238","02/05/2006 11:35:58"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Icons\Softing.ico","102582","04/02/2016 17:56:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Icons\t-h.ico","1078","18/04/2010 17:25:34"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Icons\Turck.ico","14846","26/04/2016 14:06:02"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Icons\VVO.ICO","2238","02/05/2006 11:35:58"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Icons\WIKA.ICO","766","02/05/2006 11:35:58"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\JA\DevExpress.Data.v15.2.resources.dll","194344","01/05/2017 10:39:38"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\JA\DevExpress.Printing.v15.2.Core.resources.dll","14120","01/05/2017 10:39:50"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\JA\DevExpress.Sparkline.v15.2.Core.resources.dll","11048","01/05/2017 10:39:52"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\JA\DevExpress.Utils.v15.2.resources.dll","33064","01/05/2017 10:39:54"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\JA\DevExpress.XtraEditors.v15.2.resources.dll","122664","01/05/2017 10:40:02"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\JA\DevExpress.XtraGrid.v15.2.resources.dll","74024","01/05/2017 10:40:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\JA\DevExpress.XtraLayout.v15.2.resources.dll","17192","01/05/2017 10:40:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\JA\DevExpress.XtraPrinting.v15.2.resources.dll","22312","01/05/2017 10:40:06"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWBOLNG.CHN","2998","19/12/2016 16:58:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWBOLNG.ENG","6430","19/12/2016 16:58:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWBOLNG.FRA","7332","19/12/2016 16:58:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWBOLNG.GER","7588","19/12/2016 16:58:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWBOLNG.NLD","6986","19/12/2016 16:58:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWBOLNG.POR","7200","19/12/2016 16:58:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWBOLNG.RUS","6566","19/12/2016 16:58:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWBOLNG.SPA","7532","19/12/2016 16:58:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCATLNG.CHN","2020","12/03/2018 16:44:10"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCATLNG.ENG","2624","12/03/2018 16:44:10"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCATLNG.FRA","2876","12/03/2018 16:44:10"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCATLNG.GER","2694","12/03/2018 16:44:10"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCATLNG.NLD","2844","12/03/2018 16:44:10"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCATLNG.POR","3014","12/03/2018 16:44:10"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCATLNG.RUS","2748","12/03/2018 16:44:10"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCATLNG.SPA","2990","12/03/2018 16:44:10"
